https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1569283200,2019-09-24 00:00:00,ETH/GBP,161.57,162.61,124.07,134.55,390946.0,2879.58
1569196800,2019-09-23 00:00:00,ETH/GBP,170.36,170.36,160.91,161.57,2216.13,13.53
1569110400,2019-09-22 00:00:00,ETH/GBP,173.88,173.88,165.95,170.36,738.34,4.395
1569024000,2019-09-21 00:00:00,ETH/GBP,173.56,177.1,172.86,173.88,3699.36,21.21
1568937600,2019-09-20 00:00:00,ETH/GBP,175.87,177.26,173.27,173.56,1573.9,9.003
1568851200,2019-09-19 00:00:00,ETH/GBP,169.66,179.22,163.89,175.87,42298.4,241.12
1568764800,2019-09-18 00:00:00,ETH/GBP,168.14,174.35,167.57,169.66,9623.53,56.33
1568678400,2019-09-17 00:00:00,ETH/GBP,160.96,172.48,159.34,168.14,140618.01,827.9
1568592000,2019-09-16 00:00:00,ETH/GBP,152.17,160.97,152.17,160.96,15200.83,96.09
1568505600,2019-09-15 00:00:00,ETH/GBP,149.76,152.4,149.76,152.17,22085.03,146.05
1568419200,2019-09-14 00:00:00,ETH/GBP,145.25,150.36,144.44,149.76,27466.2,185.75
1568332800,2019-09-13 00:00:00,ETH/GBP,145.94,145.94,143.02,145.25,1702.39,11.83
1568246400,2019-09-12 00:00:00,ETH/GBP,144.92,146.05,144.92,145.94,65.88,0.4529
1568160000,2019-09-11 00:00:00,ETH/GBP,144.32,147.87,144.04,144.92,19307.34,131.47
1568073600,2019-09-10 00:00:00,ETH/GBP,148.08,148.3,142.75,144.32,15181.51,105.56
1567987200,2019-09-09 00:00:00,ETH/GBP,147.07,150.64,145.44,148.08,962.82,6.461
1567900800,2019-09-08 00:00:00,ETH/GBP,147.34,150.45,146.72,147.07,2139.19,14.5
1567814400,2019-09-07 00:00:00,ETH/GBP,137.32,147.34,137.32,147.34,69930.29,476.63
1567728000,2019-09-06 00:00:00,ETH/GBP,139.36,143.91,135.41,137.32,37524.87,267.18
1567641600,2019-09-05 00:00:00,ETH/GBP,142.74,143.51,137.75,139.36,2798.85,19.81
1567555200,2019-09-04 00:00:00,ETH/GBP,148.9,148.9,141.97,142.74,784.02,5.404
1567468800,2019-09-03 00:00:00,ETH/GBP,147.72,152.05,145.28,148.9,69871.3,466.6
1567382400,2019-09-02 00:00:00,ETH/GBP,140.8,149.84,140.37,147.72,97975.94,669.13
1567296000,2019-09-01 00:00:00,ETH/GBP,143.83,143.83,138.46,140.8,1806.47,12.84
1567209600,2019-08-31 00:00:00,ETH/GBP,139.29,144.0,137.06,143.83,7828.24,55.77
1567123200,2019-08-30 00:00:00,ETH/GBP,139.1,139.93,137.24,139.29,18344.0,132.05
1567036800,2019-08-29 00:00:00,ETH/GBP,142.37,142.37,134.95,139.1,19280.62,139.51
1566950400,2019-08-28 00:00:00,ETH/GBP,152.58,154.31,136.0,142.37,154803.71,1066.97
1566864000,2019-08-27 00:00:00,ETH/GBP,154.51,154.51,150.85,152.58,15097.86,99.36
1566777600,2019-08-26 00:00:00,ETH/GBP,150.91,158.22,150.91,154.51,26057.82,167.19
1566691200,2019-08-25 00:00:00,ETH/GBP,155.31,156.76,149.31,150.91,7983.68,53.1
1566604800,2019-08-24 00:00:00,ETH/GBP,158.67,158.67,152.3,155.31,7214.58,46.18
1566518400,2019-08-23 00:00:00,ETH/GBP,156.28,160.26,154.27,158.67,21083.64,134.28
1566432000,2019-08-22 00:00:00,ETH/GBP,152.88,159.31,152.36,156.28,13829.76,88.96
1566345600,2019-08-21 00:00:00,ETH/GBP,161.48,162.16,149.07,152.88,30379.71,197.71
1566259200,2019-08-20 00:00:00,ETH/GBP,167.41,167.41,160.52,161.48,8857.41,54.46
1566172800,2019-08-19 00:00:00,ETH/GBP,160.15,167.82,159.6,167.41,20490.02,125.59
1566086400,2019-08-18 00:00:00,ETH/GBP,152.55,163.2,151.19,160.15,32097.47,202.75
1566000000,2019-08-17 00:00:00,ETH/GBP,152.73,153.38,150.33,152.55,378.27,2.482
1565913600,2019-08-16 00:00:00,ETH/GBP,156.32,156.32,147.41,152.73,15858.85,104.75
1565827200,2019-08-15 00:00:00,ETH/GBP,154.91,157.48,144.87,156.32,10608.63,69.98
1565740800,2019-08-14 00:00:00,ETH/GBP,173.68,174.16,152.45,154.91,26699.92,160.86
1565654400,2019-08-13 00:00:00,ETH/GBP,174.85,175.26,170.33,173.68,2967.39,17.13
1565568000,2019-08-12 00:00:00,ETH/GBP,179.94,179.94,174.33,174.85,12605.67,70.72
1565481600,2019-08-11 00:00:00,ETH/GBP,171.98,179.94,171.98,179.94,11991.39,68.9
1565395200,2019-08-10 00:00:00,ETH/GBP,175.4,178.4,167.08,171.98,36757.6,215.39
1565308800,2019-08-09 00:00:00,ETH/GBP,182.8,182.8,172.51,175.4,26349.37,148.87
1565222400,2019-08-08 00:00:00,ETH/GBP,185.85,186.37,179.35,182.8,33029.56,180.76
1565136000,2019-08-07 00:00:00,ETH/GBP,185.56,189.23,182.13,185.85,12552.96,67.21
1565049600,2019-08-06 00:00:00,ETH/GBP,192.15,195.44,183.31,185.56,6636.7,35.23
1564963200,2019-08-05 00:00:00,ETH/GBP,183.09,194.9,183.09,192.15,28146.7,147.82
1564876800,2019-08-04 00:00:00,ETH/GBP,182.46,183.31,179.03,183.09,1930.42,10.75
1564790400,2019-08-03 00:00:00,ETH/GBP,178.24,185.07,178.24,182.46,6223.93,33.92
1564704000,2019-08-02 00:00:00,ETH/GBP,179.03,183.85,177.02,178.24,8442.29,46.07
