https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1573084800,2019-11-07 00:00:00,ETH/EUR,173.38,174.0,167.01,168.8,444269.41,2624.17
1572998400,2019-11-06 00:00:00,ETH/EUR,171.0,176.23,170.3,173.38,620776.26,3598.67
1572912000,2019-11-05 00:00:00,ETH/EUR,168.14,174.07,163.98,171.0,927622.15,5477.63
1572825600,2019-11-04 00:00:00,ETH/EUR,162.9,170.82,161.98,168.14,953182.14,5710.28
1572739200,2019-11-03 00:00:00,ETH/EUR,164.69,166.06,160.83,162.9,393863.39,2416.07
1572652800,2019-11-02 00:00:00,ETH/EUR,164.37,166.92,163.34,164.69,254410.58,1540.83
1572566400,2019-11-01 00:00:00,ETH/EUR,163.93,166.01,158.69,164.37,650694.26,4006.56
1572480000,2019-10-31 00:00:00,ETH/EUR,164.74,166.44,159.7,164.24,515655.9,3158.04
1572393600,2019-10-30 00:00:00,ETH/EUR,172.24,173.21,161.78,164.74,1571939.21,9472.17
1572307200,2019-10-29 00:00:00,ETH/EUR,164.25,174.82,163.79,172.24,1715689.77,10108.01
1572220800,2019-10-28 00:00:00,ETH/EUR,166.35,172.13,163.33,164.25,851681.64,5129.83
1572134400,2019-10-27 00:00:00,ETH/EUR,162.8,170.85,159.93,166.35,649915.98,3914.93
1572048000,2019-10-26 00:00:00,ETH/EUR,164.32,179.63,157.34,162.8,2619267.88,15457.62
1571961600,2019-10-25 00:00:00,ETH/EUR,145.07,169.71,145.01,164.32,2139444.62,13382.95
1571875200,2019-10-24 00:00:00,ETH/EUR,146.37,147.89,141.68,145.07,1419453.69,9867.97
1571788800,2019-10-23 00:00:00,ETH/EUR,154.44,154.77,137.96,146.37,1321747.07,9054.27
1571702400,2019-10-22 00:00:00,ETH/EUR,156.95,158.81,153.63,154.44,618992.1,3947.77
1571616000,2019-10-21 00:00:00,ETH/EUR,157.89,160.64,154.79,156.95,675404.23,4281.59
1571529600,2019-10-20 00:00:00,ETH/EUR,154.49,159.17,152.46,157.89,540134.47,3449.2
1571443200,2019-10-19 00:00:00,ETH/EUR,155.62,157.38,152.73,154.49,410150.87,2642.17
1571356800,2019-10-18 00:00:00,ETH/EUR,159.58,160.09,150.91,155.62,866046.04,5558.42
1571270400,2019-10-17 00:00:00,ETH/EUR,158.19,162.49,156.38,159.58,410578.13,2577.97
1571184000,2019-10-16 00:00:00,ETH/EUR,164.1,164.72,155.9,158.19,780438.11,4894.45
1571097600,2019-10-15 00:00:00,ETH/EUR,169.73,171.41,159.74,164.1,991284.46,6007.38
1571011200,2019-10-14 00:00:00,ETH/EUR,165.0,170.18,164.08,169.73,362826.66,2159.85
1570924800,2019-10-13 00:00:00,ETH/EUR,163.18,167.57,162.38,165.0,306573.54,1857.26
1570838400,2019-10-12 00:00:00,ETH/EUR,163.95,167.73,161.31,163.18,292066.96,1776.61
1570752000,2019-10-11 00:00:00,ETH/EUR,174.04,179.73,162.47,163.95,1581384.89,9373.53
1570665600,2019-10-10 00:00:00,ETH/EUR,176.45,177.23,170.49,174.04,626204.28,3596.29
1570579200,2019-10-09 00:00:00,ETH/EUR,165.72,178.71,163.97,176.45,1909948.33,11042.67
1570492800,2019-10-08 00:00:00,ETH/EUR,164.79,169.3,162.66,165.72,520489.25,3140.33
1570406400,2019-10-07 00:00:00,ETH/EUR,155.24,167.12,153.83,164.79,1056867.68,6533.49
1570320000,2019-10-06 00:00:00,ETH/EUR,161.0,161.65,153.27,155.24,539095.15,3436.07
1570233600,2019-10-05 00:00:00,ETH/EUR,160.56,161.65,157.2,161.0,317603.42,1993.2
1570147200,2019-10-04 00:00:00,ETH/EUR,159.81,163.59,156.29,160.56,474291.85,2971.96
1570060800,2019-10-03 00:00:00,ETH/EUR,165.38,165.74,154.94,159.81,872256.89,5472.73
1569974400,2019-10-02 00:00:00,ETH/EUR,161.52,167.11,159.48,165.38,425982.12,2611.44
1569888000,2019-10-01 00:00:00,ETH/EUR,167.13,171.23,159.36,161.52,985188.0,5968.68
1569801600,2019-09-30 00:00:00,ETH/EUR,155.46,167.35,151.3,167.13,1720011.93,10785.09
1569715200,2019-09-29 00:00:00,ETH/EUR,159.57,159.85,150.62,155.46,641595.43,4163.92
1569628800,2019-09-28 00:00:00,ETH/EUR,159.68,161.0,154.79,159.57,439975.87,2772.29
1569542400,2019-09-27 00:00:00,ETH/EUR,152.47,162.26,148.1,159.68,1004339.02,6517.33
1569456000,2019-09-26 00:00:00,ETH/EUR,155.83,156.75,140.03,152.47,1875084.31,12561.61
1569369600,2019-09-25 00:00:00,ETH/EUR,151.2,159.42,148.01,155.83,1371697.5,8939.3
1569283200,2019-09-24 00:00:00,ETH/EUR,182.6,184.45,139.6,151.2,4768052.83,30198.16
1569196800,2019-09-23 00:00:00,ETH/EUR,191.72,192.58,181.16,182.6,853372.3,4550.56
1569110400,2019-09-22 00:00:00,ETH/EUR,195.73,196.09,187.49,191.72,537765.09,2814.18
1569024000,2019-09-21 00:00:00,ETH/EUR,198.46,201.44,194.15,195.73,630792.68,3198.76
