https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1695168000000,2023-09-20 00:00:00,ETH/UST,1643.2,1649.1,1606.1,1622.2,1142559.999106978,704.32745599
1695081600000,2023-09-19 00:00:00,ETH/UST,1637.5,1660.1,1627.2,1643.2,732443.0631315201,445.7418836
1694995200000,2023-09-18 00:00:00,ETH/UST,1623.2,1669.0,1605.0,1637.4,1549826.785683168,946.51690832
1694908800000,2023-09-17 00:00:00,ETH/UST,1634.2,1635.2,1612.2,1622.8,356070.581776032,219.41741544
1694822400000,2023-09-16 00:00:00,ETH/UST,1641.4,1651.9,1631.9,1634.5,170132.31239136998,104.08829146
1694736000000,2023-09-15 00:00:00,ETH/UST,1626.7,1652.7,1611.7,1640.9,637630.745477576,388.58598664
1694649600000,2023-09-14 00:00:00,ETH/UST,1607.4,1643.0,1607.4,1626.2,865688.323337568,532.33816464
1694563200000,2023-09-13 00:00:00,ETH/UST,1593.0,1619.2,1582.2,1607.3,1300993.209861257,809.42774209
1694476800000,2023-09-12 00:00:00,ETH/UST,1551.7,1625.5,1550.1,1592.4,1157295.111997608,726.76156242
1694390400000,2023-09-11 00:00:00,ETH/UST,1617.5,1618.6,1531.3,1551.9,2219225.258001318,1430.00532122
1694304000000,2023-09-10 00:00:00,ETH/UST,1635.6,1635.6,1598.2,1617.5,3279022.881766275,2027.21661933
1694217600000,2023-09-09 00:00:00,ETH/UST,1636.7,1637.2,1629.8,1635.6,574786.09405536,351.42216559999997
1694131200000,2023-09-08 00:00:00,ETH/UST,1647.8,1657.8,1617.4,1636.7,467989.88499266905,285.93504307
1694044800000,2023-09-07 00:00:00,ETH/UST,1633.1,1658.5,1624.1,1648.4,1095259.528434188,664.43795707
1693958400000,2023-09-06 00:00:00,ETH/UST,1634.2,1670.0,1610.0,1632.9,546607.522423932,334.74647708
1693872000000,2023-09-05 00:00:00,ETH/UST,1630.6,1647.7,1610.7,1633.8,4071162.3299746136,2491.83641203
1693785600000,2023-09-04 00:00:00,ETH/UST,1636.0,1644.7,1616.9,1630.6,678241.2112887499,415.94579375
1693699200000,2023-09-03 00:00:00,ETH/UST,1636.8,1645.7,1625.7,1636.9,422464.934337882,258.08841978
1693612800000,2023-09-02 00:00:00,ETH/UST,1629.2,1645.1,1627.9,1636.4,940314.2924560962,574.62374264
1693526400000,2023-09-01 00:00:00,ETH/UST,1645.6,1654.5,1602.9,1629.1,815633.138723249,500.66486939
1693440000000,2023-08-31 00:00:00,ETH/UST,1705.4,1725.7,1630.8,1646.3,1028393.1822011629,624.66936901
1693353600000,2023-08-30 00:00:00,ETH/UST,1729.6,1730.7,1696.7,1705.2,723758.658722904,424.44209402
1693267200000,2023-08-29 00:00:00,ETH/UST,1653.8,1743.8,1640.6,1728.8,1776720.51410412,1027.71894615
1693180800000,2023-08-28 00:00:00,ETH/UST,1657.8,1663.4,1623.9,1654.3,625940.258726615,378.37167305
1693094400000,2023-08-27 00:00:00,ETH/UST,1646.8,1660.0,1646.4,1657.7,384219.628951631,231.77874703
1693008000000,2023-08-26 00:00:00,ETH/UST,1653.7,1655.6,1644.2,1646.5,224825.32294668,136.54741752
1692921600000,2023-08-25 00:00:00,ETH/UST,1661.1,1675.2,1636.3,1653.5,851516.0659542499,514.9779655
1692835200000,2023-08-24 00:00:00,ETH/UST,1679.6,1682.9,1636.5,1660.5,1726016.6076982198,1039.45595164
1692748800000,2023-08-23 00:00:00,ETH/UST,1634.9,1701.3,1629.6,1679.6,1971830.9550692479,1173.98842288
1692662400000,2023-08-22 00:00:00,ETH/UST,1667.9,1668.9,1582.2,1635.3,2126825.48350386,1300.5720562
1692576000000,2023-08-21 00:00:00,ETH/UST,1685.3,1687.8,1648.9,1667.7,1422528.659270883,852.98834279
1692489600000,2023-08-20 00:00:00,ETH/UST,1669.9,1693.3,1662.4,1684.7,1301111.0591884311,772.31023873
1692403200000,2023-08-19 00:00:00,ETH/UST,1661.5,1695.6,1654.7,1669.6,1500833.125604872,898.91778007
1692316800000,2023-08-18 00:00:00,ETH/UST,1681.5,1698.7,1642.7,1661.1,3919861.8108157828,2359.79881453
1692230400000,2023-08-17 00:00:00,ETH/UST,1807.7,1809.5,1517.0,1682.1,10427250.807388548,6198.94822388
1692144000000,2023-08-16 00:00:00,ETH/UST,1829.2,1831.3,1798.1,1807.6,1912334.9628508799,1057.9414488
1692057600000,2023-08-15 00:00:00,ETH/UST,1845.5,1847.6,1813.7,1828.8,1306586.3323644,714.45009425
1691971200000,2023-08-14 00:00:00,ETH/UST,1840.7,1856.4,1835.7,1845.4,1008753.4011307241,546.6313000600001
1691884800000,2023-08-13 00:00:00,ETH/UST,1849.6,1861.7,1835.1,1840.8,545218.120804656,296.18541982
1691798400000,2023-08-12 00:00:00,ETH/UST,1849.0,1853.4,1846.6,1850.1,579828.1645378739,313.40368874
1691712000000,2023-08-11 00:00:00,ETH/UST,1852.7,1857.5,1839.1,1849.1,1050431.9322297128,568.07740643
1691625600000,2023-08-10 00:00:00,ETH/UST,1855.3,1865.5,1846.5,1852.8,1111297.678110624,599.79365183
1691539200000,2023-08-09 00:00:00,ETH/UST,1856.4,1871.1,1847.1,1855.5,1084089.16568673,584.25716286
1691452800000,2023-08-08 00:00:00,ETH/UST,1828.9,1876.2,1826.3,1856.5,1683565.23299481,906.84903474
1691366400000,2023-08-07 00:00:00,ETH/UST,1830.4,1846.3,1803.1,1828.1,2358232.513956547,1289.99098187
1691280000000,2023-08-06 00:00:00,ETH/UST,1836.0,1837.9,1826.7,1830.3,1008773.330385381,551.15190427
1691193600000,2023-08-05 00:00:00,ETH/UST,1830.3,1838.7,1827.5,1836.6,580565.886170454,316.10905269
1691107200000,2023-08-04 00:00:00,ETH/UST,1835.9,1851.1,1816.5,1830.5,1349422.017103195,737.18766299
1691020800000,2023-08-03 00:00:00,ETH/UST,1840.2,1858.8,1826.2,1836.5,949253.2147596099,516.88168514
1690934400000,2023-08-02 00:00:00,ETH/UST,1873.7,1878.8,1821.9,1840.6,1112301.7986271458,604.31478791
1690848000000,2023-08-01 00:00:00,ETH/UST,1856.1,1875.9,1814.8,1874.0,6876607.2117535,3669.48090275
1690761600000,2023-07-31 00:00:00,ETH/UST,1861.8,1873.7,1852.5,1857.5,834484.9435714249,449.25165198999997
1690675200000,2023-07-30 00:00:00,ETH/UST,1881.3,1884.5,1849.1,1861.9,792783.210082891,425.79258289
1690588800000,2023-07-29 00:00:00,ETH/UST,1873.9,1885.3,1869.8,1880.8,566514.4286823199,301.2092879
1690502400000,2023-07-28 00:00:00,ETH/UST,1861.1,1882.1,1856.6,1874.5,595749.412658005,317.81777149
1690416000000,2023-07-27 00:00:00,ETH/UST,1871.3,1885.6,1856.1,1860.7,1200470.497682327,645.17143961
1690329600000,2023-07-26 00:00:00,ETH/UST,1857.8,1887.8,1848.9,1871.3,1014112.839839561,541.92958897
1690243200000,2023-07-25 00:00:00,ETH/UST,1850.4,1868.2,1845.4,1857.8,781634.67360566,420.7313347
1690156800000,2023-07-24 00:00:00,ETH/UST,1888.8,1890.6,1833.1,1850.6,1228205.756101986,663.67975581
1690070400000,2023-07-23 00:00:00,ETH/UST,1866.2,1904.7,1858.6,1889.1,1122507.137199978,594.20207358
1689984000000,2023-07-22 00:00:00,ETH/UST,1891.8,1897.2,1852.1,1866.1,2838527.8469514223,1521.1016810200001
1689897600000,2023-07-21 00:00:00,ETH/UST,1891.6,1905.0,1885.1,1891.8,2537075.3951325417,1341.09070469
1689811200000,2023-07-20 00:00:00,ETH/UST,1888.5,1928.0,1878.4,1891.6,1266473.738348164,669.52513129
1689724800000,2023-07-19 00:00:00,ETH/UST,1897.2,1921.2,1882.4,1888.8,1071845.655899568,567.47440486
1689638400000,2023-07-18 00:00:00,ETH/UST,1911.3,1917.1,1877.0,1898.0,949345.91234106,500.18225097
1689552000000,2023-07-17 00:00:00,ETH/UST,1922.0,1935.5,1874.3,1911.3,1908800.254479657,998.69212289
1689465600000,2023-07-16 00:00:00,ETH/UST,1931.6,1943.5,1914.7,1921.0,1080598.59814493,562.51879133
1689379200000,2023-07-15 00:00:00,ETH/UST,1938.1,1946.6,1926.7,1930.6,414824.26476280997,214.86805385
