Date,Open,High,Low,Close
10/15/2023,"26,158","26,517","26,115","26,499"
10/14/2023,"26,269","26,399","26,089","26,158"
10/13/2023,"26,047","26,272","25,992","26,260"
10/12/2023,"26,020","26,231","25,887","26,047"
10/11/2023,"26,690","26,761","25,883","26,023"
10/10/2023,"26,861","26,995","26,613","26,690"
10/09/2023,"27,216","27,275","26,615","26,861"
10/08/2023,"27,218","27,384","27,050","27,216"
10/07/2023,"27,282","27,534","27,160","27,213"
10/06/2023,"26,764","27,312","26,571","27,282"
10/05/2023,"26,940","27,353","26,675","26,758"
10/04/2023,"26,688","27,094","26,531","26,940"
10/03/2023,"27,119","27,148","26,510","26,688"
10/02/2023,"26,414","27,752","26,387","27,119"
10/01/2023,"26,372","26,573","26,266","26,414"
09/30/2023,"26,204","26,388","26,169","26,372"
09/29/2023,"26,386","26,487","26,032","26,204"
09/28/2023,"25,560","26,536","25,546","26,386"
09/27/2023,"25,464","26,115","25,419","25,560"
09/26/2023,"25,615","25,703","25,435","25,472"
09/25/2023,"25,836","25,851","25,346","25,615"
09/24/2023,"25,933","26,069","25,757","25,834"
09/23/2023,"25,854","25,982","25,812","25,933"
09/22/2023,"25,917","26,058","25,826","25,851"
09/21/2023,"26,382","26,521","25,719","25,917"
09/20/2023,"26,479","26,672","26,202","26,368"
09/19/2023,"26,068","26,764","25,997","26,479"
09/18/2023,"25,769","26,687","25,724","26,072"
09/17/2023,"25,837","25,936","25,751","25,769"
09/16/2023,"25,714","26,144","25,714","25,838"
09/15/2023,"25,879","25,960","25,549","25,714"
09/14/2023,"25,553","26,140","25,471","25,865"
09/13/2023,"25,375","25,689","25,115","25,553"
09/12/2023,"24,437","25,796","24,430","25,385"
09/11/2023,"25,159","25,324","24,326","24,437"
09/10/2023,"25,199","25,249","24,998","25,167"
09/09/2023,"25,225","25,260","25,152","25,199"
09/08/2023,"25,315","25,727","25,017","25,226"
09/07/2023,"25,003","25,318","24,962","25,315"
09/06/2023,"25,036","25,261","24,765","25,012"
09/05/2023,"25,155","25,190","24,922","25,036"
09/04/2023,"25,392","25,415","25,081","25,155"
