https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ETH
1695513600000,2023-09-24 00:00:00,ETH/BTC,0.059979,0.060212,0.059664,0.060212,12.068454450729162,200.43271193
1695427200000,2023-09-23 00:00:00,ETH/BTC,0.059957,0.06007,0.059821,0.059981,4.7489482660175995,79.1742096
1695340800000,2023-09-22 00:00:00,ETH/BTC,0.059628,0.060035,0.059589,0.059958,6.685976738859299,111.51100335
1695254400000,2023-09-21 00:00:00,ETH/BTC,0.059827,0.060212,0.059401,0.059641,71.49012926535586,1198.67422185
1695168000000,2023-09-20 00:00:00,ETH/BTC,0.060398,0.060524,0.059792,0.059792,58.53398587296784,978.96015977
1695081600000,2023-09-19 00:00:00,ETH/BTC,0.061108,0.061158,0.060274,0.060412,11.65351702677976,192.90069898
1694995200000,2023-09-18 00:00:00,ETH/BTC,0.061169,0.061329,0.060676,0.0612,70.97601361874399,1159.73878462
1694908800000,2023-09-17 00:00:00,ETH/BTC,0.06154,0.06154,0.061059,0.061182,10.49601663282942,171.55399681
1694822400000,2023-09-16 00:00:00,ETH/BTC,0.061723,0.061833,0.06154,0.061563,6.34081871243259,102.99723393
1694736000000,2023-09-15 00:00:00,ETH/BTC,0.06133,0.061786,0.061164,0.061712,14.45075776832016,234.16446993
1694649600000,2023-09-14 00:00:00,ETH/BTC,0.061314,0.06196,0.06102,0.06132,14.431161892476,235.3418443
1694563200000,2023-09-13 00:00:00,ETH/BTC,0.061661,0.061683,0.061027,0.061326,166.08278471145732,2708.19529582
1694476800000,2023-09-12 00:00:00,ETH/BTC,0.061679,0.061854,0.061041,0.061658,320.7633671867124,5202.29925049
1694390400000,2023-09-11 00:00:00,ETH/BTC,0.062615,0.06267,0.061358,0.061669,140.46193767189467,2277.67496914
1694304000000,2023-09-10 00:00:00,ETH/BTC,0.06315,0.063151,0.062271,0.062607,15.32958959713563,244.85424309
1694217600000,2023-09-09 00:00:00,ETH/BTC,0.063165,0.063233,0.063114,0.063154,3.4099587788720997,53.99434365
1694131200000,2023-09-08 00:00:00,ETH/BTC,0.06277,0.063227,0.062582,0.063163,9.72652477987146,153.99086142
1694044800000,2023-09-07 00:00:00,ETH/BTC,0.063384,0.063581,0.062626,0.062804,9.41947499383212,149.98208703
1693958400000,2023-09-06 00:00:00,ETH/BTC,0.063349,0.064136,0.063249,0.063376,7.186301399308,113.39152675
1693872000000,2023-09-05 00:00:00,ETH/BTC,0.063127,0.063684,0.062919,0.063373,12.35689205988375,194.98669875
1693785600000,2023-09-04 00:00:00,ETH/BTC,0.063009,0.063186,0.062901,0.063136,16.19940926951296,256.57959436
1693699200000,2023-09-03 00:00:00,ETH/BTC,0.063283,0.063305,0.06294,0.063007,16.670822422382727,264.58683039
1693612800000,2023-09-02 00:00:00,ETH/BTC,0.063136,0.063436,0.0631,0.063287,28.595058122910437,451.83146812
1693526400000,2023-09-01 00:00:00,ETH/BTC,0.063476,0.063505,0.062862,0.063133,16.66381210627364,263.94773108
1693440000000,2023-08-31 00:00:00,ETH/BTC,0.062476,0.063497,0.062438,0.063475,92.89115904967525,1463.42905159
1693353600000,2023-08-30 00:00:00,ETH/BTC,0.062415,0.062839,0.062322,0.062476,58.38437663818712,934.50887762
1693267200000,2023-08-29 00:00:00,ETH/BTC,0.063309,0.063515,0.061961,0.062376,66.52499268018407,1066.51585033
1693180800000,2023-08-28 00:00:00,ETH/BTC,0.063548,0.063565,0.062753,0.063303,10.87186143801012,171.74322604
1693094400000,2023-08-27 00:00:00,ETH/BTC,0.063308,0.063548,0.063267,0.063539,13.58981403928575,213.88145925
1693008000000,2023-08-26 00:00:00,ETH/BTC,0.063457,0.063502,0.063212,0.063305,3.2736137074685,51.7117717
1692921600000,2023-08-25 00:00:00,ETH/BTC,0.063467,0.063777,0.063275,0.063465,13.05297459634935,205.67201759
1692835200000,2023-08-24 00:00:00,ETH/BTC,0.063542,0.06355,0.063017,0.063456,12.28849945564992,193.65386182
1692748800000,2023-08-23 00:00:00,ETH/BTC,0.062769,0.063843,0.062658,0.063511,34.2573488364744,539.3923704
1692662400000,2023-08-22 00:00:00,ETH/BTC,0.063817,0.063958,0.062221,0.0628,78.806235379112,1254.87635954
1692576000000,2023-08-21 00:00:00,ETH/BTC,0.064275,0.06443,0.063792,0.063822,10.79274869570238,169.10702729
1692489600000,2023-08-20 00:00:00,ETH/BTC,0.063987,0.064446,0.063793,0.064288,73.49357586751263,1143.1927555299999
1692403200000,2023-08-19 00:00:00,ETH/BTC,0.063804,0.064658,0.063756,0.063973,288.65389011639365,4512.12058394
1692316800000,2023-08-18 00:00:00,ETH/BTC,0.063293,0.06427,0.06322,0.063755,148.6788495392401,2332.03434302
1692230400000,2023-08-17 00:00:00,ETH/BTC,0.062925,0.0637,0.05996,0.063164,150.66582368172988,2385.31162817
1692144000000,2023-08-16 00:00:00,ETH/BTC,0.062622,0.062939,0.062259,0.062911,11.04359892016927,175.54321057
1692057600000,2023-08-15 00:00:00,ETH/BTC,0.062701,0.062794,0.06236,0.062635,14.571628660297499,232.6435485
1691971200000,2023-08-14 00:00:00,ETH/BTC,0.062828,0.063041,0.062493,0.062672,27.806478617137284,443.68264324
1691884800000,2023-08-13 00:00:00,ETH/BTC,0.062861,0.063154,0.062693,0.062795,9.099518318611,144.9083258
1691798400000,2023-08-12 00:00:00,ETH/BTC,0.062838,0.062958,0.062779,0.062865,312.8775846847844,4976.97581619
1691712000000,2023-08-11 00:00:00,ETH/BTC,0.062874,0.062874,0.062702,0.062847,103.34520010386512,1644.39352879
1691625600000,2023-08-10 00:00:00,ETH/BTC,0.062736,0.062936,0.062628,0.062874,36.1029018131145,574.21035425
1691539200000,2023-08-09 00:00:00,ETH/BTC,0.062323,0.062898,0.062145,0.062689,10.835233439154848,172.84106365
1691452800000,2023-08-08 00:00:00,ETH/BTC,0.062611,0.062761,0.062058,0.062389,11.12888442260242,178.37895178
1691366400000,2023-08-07 00:00:00,ETH/BTC,0.062916,0.063217,0.062517,0.062643,82.25766583189554,1313.11823878
1691280000000,2023-08-06 00:00:00,ETH/BTC,0.063158,0.063237,0.062863,0.062933,20.99103016741926,333.54567822
1691193600000,2023-08-05 00:00:00,ETH/BTC,0.062858,0.063211,0.062854,0.06317,18.808216521779404,297.73969482
1691107200000,2023-08-04 00:00:00,ETH/BTC,0.062901,0.063161,0.062786,0.062872,10.00167129927328,159.07989724
1691020800000,2023-08-03 00:00:00,ETH/BTC,0.063098,0.063288,0.062791,0.062894,6.55259111171652,104.18467758
1690934400000,2023-08-02 00:00:00,ETH/BTC,0.063072,0.063264,0.062562,0.063031,13.63811144228759,216.37149089
1690848000000,2023-08-01 00:00:00,ETH/BTC,0.063561,0.063613,0.062952,0.063057,28.91435382997215,458.54312495
1690761600000,2023-07-31 00:00:00,ETH/BTC,0.06356,0.06375,0.063378,0.063489,7.588829667014731,119.52983457
1690675200000,2023-07-30 00:00:00,ETH/BTC,0.064083,0.064083,0.063599,0.063627,25.560638534847513,401.72628813
1690588800000,2023-07-29 00:00:00,ETH/BTC,0.063919,0.064195,0.063787,0.064059,8.75297718710721,136.63930419
1690502400000,2023-07-28 00:00:00,ETH/BTC,0.063696,0.064034,0.063617,0.063947,26.319277956418333,411.57955739
1690416000000,2023-07-27 00:00:00,ETH/BTC,0.063811,0.063885,0.063502,0.063664,6.52231197922512,102.44898183
1690329600000,2023-07-26 00:00:00,ETH/BTC,0.063597,0.063842,0.063374,0.063764,18.88252155215972,296.13138373
1690243200000,2023-07-25 00:00:00,ETH/BTC,0.063408,0.063747,0.063408,0.063572,18.082538257673,284.44186525
1690156800000,2023-07-24 00:00:00,ETH/BTC,0.062858,0.063723,0.062768,0.063416,50.72432267214704,799.86632194
1690070400000,2023-07-23 00:00:00,ETH/BTC,0.062627,0.062932,0.062523,0.062799,15.377735644314779,244.87230122
1689984000000,2023-07-22 00:00:00,ETH/BTC,0.063254,0.06338,0.062335,0.062598,46.97355684700218,750.40028191
1689897600000,2023-07-21 00:00:00,ETH/BTC,0.063477,0.063503,0.063249,0.063255,2.06438179807995,32.63586749
1689811200000,2023-07-20 00:00:00,ETH/BTC,0.063144,0.063673,0.063034,0.063465,34.306703824382396,540.56099936
1689724800000,2023-07-19 00:00:00,ETH/BTC,0.06354,0.063776,0.063048,0.063168,7.670661549089281,121.43271196
1689638400000,2023-07-18 00:00:00,ETH/BTC,0.063466,0.063753,0.063294,0.063572,8.32861726865252,131.01077941
1689552000000,2023-07-17 00:00:00,ETH/BTC,0.063583,0.063826,0.063076,0.063417,22.36496310710742,352.66510726
1689465600000,2023-07-16 00:00:00,ETH/BTC,0.063781,0.063946,0.063577,0.063594,27.09307494052776,426.03193604
1689379200000,2023-07-15 00:00:00,ETH/BTC,0.063927,0.064075,0.063652,0.063734,35.48938309439754,556.83596031
1689292800000,2023-07-14 00:00:00,ETH/BTC,0.063723,0.064381,0.063368,0.063924,312.08490183009553,4882.12411348
1689206400000,2023-07-13 00:00:00,ETH/BTC,0.061648,0.064402,0.0615,0.063716,556.2705693393501,8730.469102570001
1689120000000,2023-07-12 00:00:00,ETH/BTC,0.061356,0.06204,0.061329,0.061606,35.939969581232944,583.38424149
1689033600000,2023-07-11 00:00:00,ETH/BTC,0.061749,0.0618,0.061088,0.061356,50.844164527518245,828.6746940400001
1688947200000,2023-07-10 00:00:00,ETH/BTC,0.061677,0.062127,0.061305,0.061843,8.87103633223594,143.44446958
1688860800000,2023-07-09 00:00:00,ETH/BTC,0.061555,0.061944,0.061449,0.06174,8.6196538650222,139.61214553
1688774400000,2023-07-08 00:00:00,ETH/BTC,0.061635,0.061824,0.061243,0.061577,6.26931267461468,101.81257083999999
1688688000000,2023-07-07 00:00:00,ETH/BTC,0.061779,0.061904,0.061378,0.061654,14.1118226066702,228.88738130000002
1688601600000,2023-07-06 00:00:00,ETH/BTC,0.062628,0.062839,0.061767,0.061789,43.696014506055725,707.18112457
1688515200000,2023-07-05 00:00:00,ETH/BTC,0.062963,0.062986,0.062507,0.062635,16.4871895438279,263.22646354
1688428800000,2023-07-04 00:00:00,ETH/BTC,0.06273,0.063274,0.062416,0.062931,26.908723774321953,427.59091345
1688342400000,2023-07-03 00:00:00,ETH/BTC,0.063261,0.064339,0.062725,0.062725,236.101153771145,3764.0678162
1688256000000,2023-07-02 00:00:00,ETH/BTC,0.062884,0.063642,0.062524,0.063261,85.54189143769631,1352.20580512
1688169600000,2023-07-01 00:00:00,ETH/BTC,0.063449,0.06365,0.062721,0.062867,30.566192585124984,486.20409094
1688083200000,2023-06-30 00:00:00,ETH/BTC,0.060858,0.06365,0.06065,0.063449,160.42438095969038,2528.3988866600002
1687996800000,2023-06-29 00:00:00,ETH/BTC,0.060785,0.061099,0.060546,0.060858,89.62212863888928,1472.64334416
1687910400000,2023-06-28 00:00:00,ETH/BTC,0.061579,0.061579,0.060683,0.060746,34.6465915483772,570.3518182
1687824000000,2023-06-27 00:00:00,ETH/BTC,0.06142,0.062186,0.061111,0.06158,19.433016182958802,315.57350086
1687737600000,2023-06-26 00:00:00,ETH/BTC,0.062312,0.062357,0.061224,0.061414,17.81317019104442,290.05064303
1687651200000,2023-06-25 00:00:00,ETH/BTC,0.061371,0.0627,0.061328,0.062365,23.630528270935297,378.90689122
1687564800000,2023-06-24 00:00:00,ETH/BTC,0.061661,0.061895,0.0613,0.061441,22.930313381052063,373.20866166
1687478400000,2023-06-23 00:00:00,ETH/BTC,0.062658,0.062851,0.06115,0.061662,189.8656140579624,3079.1348652
1687392000000,2023-06-22 00:00:00,ETH/BTC,0.063,0.063691,0.062457,0.062633,45.95633883801111,733.74002264
1687305600000,2023-06-21 00:00:00,ETH/BTC,0.063325,0.063416,0.061762,0.063,766.96424854119,12174.03569113
1687219200000,2023-06-20 00:00:00,ETH/BTC,0.06465,0.06465,0.063075,0.063295,87.67606665751426,1385.19735615
1687132800000,2023-06-19 00:00:00,ETH/BTC,0.065351,0.065396,0.064456,0.064716,45.47189548398204,702.63760869
1687046400000,2023-06-18 00:00:00,ETH/BTC,0.065147,0.065569,0.065024,0.065333,13.709646433574111,209.84259767
1686960000000,2023-06-17 00:00:00,ETH/BTC,0.065191,0.066051,0.065101,0.065175,26.469388079549248,406.12793371
1686873600000,2023-06-16 00:00:00,ETH/BTC,0.065195,0.065558,0.0645,0.065182,28.470417418887862,436.78342823
1686787200000,2023-06-15 00:00:00,ETH/BTC,0.065717,0.065998,0.065,0.065127,115.87706767695225,1779.24774175
1686700800000,2023-06-14 00:00:00,ETH/BTC,0.067117,0.067328,0.0651,0.065747,50.109377035821176,762.15457794
1686614400000,2023-06-13 00:00:00,ETH/BTC,0.067251,0.06737,0.066629,0.067117,91.93060650277502,1369.70672859
1686528000000,2023-06-12 00:00:00,ETH/BTC,0.067608,0.067608,0.06701,0.06727,174.7513498023426,2597.76051438
1686441600000,2023-06-11 00:00:00,ETH/BTC,0.06776,0.06824,0.067601,0.067606,82.63507058922191,1222.30379832
1686355200000,2023-06-10 00:00:00,ETH/BTC,0.069496,0.069714,0.067148,0.067799,264.0303587542868,3894.31051718
1686268800000,2023-06-09 00:00:00,ETH/BTC,0.069658,0.069745,0.069149,0.069461,12.84840345501881,184.97291221
1686182400000,2023-06-08 00:00:00,ETH/BTC,0.069559,0.069995,0.069434,0.069651,9.62171091850491,138.14174841
1686096000000,2023-06-07 00:00:00,ETH/BTC,0.069155,0.070042,0.069155,0.069559,35.13698534567403,505.13931117
1686009600000,2023-06-06 00:00:00,ETH/BTC,0.07038,0.07084,0.069064,0.069183,93.35608796539628,1349.40791763
1685923200000,2023-06-05 00:00:00,ETH/BTC,0.069686,0.07084,0.069062,0.070306,156.4218676892696,2224.87223977
1685836800000,2023-06-04 00:00:00,ETH/BTC,0.069893,0.07011,0.069544,0.069691,34.12416198176482,489.64948102
1685750400000,2023-06-03 00:00:00,ETH/BTC,0.070032,0.070171,0.069581,0.069899,38.31017492409508,548.07901292
1685664000000,2023-06-02 00:00:00,ETH/BTC,0.069471,0.07024,0.069471,0.069998,130.21190403378628,1860.22320686
1685577600000,2023-06-01 00:00:00,ETH/BTC,0.06886,0.069665,0.06886,0.069439,85.09161306877924,1225.41530075
1685491200000,2023-05-31 00:00:00,ETH/BTC,0.068632,0.069091,0.068349,0.068844,17.991891311185682,261.34291022
1685404800000,2023-05-30 00:00:00,ETH/BTC,0.068203,0.068825,0.0682,0.068637,91.44295092075127,1332.26905198
1685318400000,2023-05-29 00:00:00,ETH/BTC,0.068003,0.06844,0.067652,0.068234,55.7928054992227,817.66869155
1685232000000,2023-05-28 00:00:00,ETH/BTC,0.068146,0.068441,0.06686,0.068007,148.24034075355328,2179.7806219
1685145600000,2023-05-27 00:00:00,ETH/BTC,0.06852,0.068585,0.068148,0.068151,4.20945815179008,61.76663808
1685059200000,2023-05-26 00:00:00,ETH/BTC,0.068202,0.068762,0.068101,0.06844,10.9174651232028,159.51877737
1684972800000,2023-05-25 00:00:00,ETH/BTC,0.068435,0.068519,0.067793,0.068194,53.977204963637206,791.5242538
1684886400000,2023-05-24 00:00:00,ETH/BTC,0.068077,0.068404,0.067828,0.068353,38.524101797439705,563.60513507
1684800000000,2023-05-23 00:00:00,ETH/BTC,0.067689,0.068376,0.067655,0.06811,72.2729921051656,1061.12159896
1684713600000,2023-05-22 00:00:00,ETH/BTC,0.067439,0.067758,0.067296,0.067677,45.70789809147426,675.38304138
1684627200000,2023-05-21 00:00:00,ETH/BTC,0.06711,0.067493,0.066843,0.067422,15.383558815682639,228.16823612
1684540800000,2023-05-20 00:00:00,ETH/BTC,0.067416,0.067591,0.067083,0.067083,16.696787908694493,248.89745403
1684454400000,2023-05-19 00:00:00,ETH/BTC,0.067127,0.067634,0.067039,0.067396,41.539156526181436,616.34453864
1684368000000,2023-05-18 00:00:00,ETH/BTC,0.066482,0.067428,0.066385,0.067128,79.20298931278008,1179.88006961
1684281600000,2023-05-17 00:00:00,ETH/BTC,0.067447,0.067472,0.066459,0.066459,29.604629499117035,445.45704117
1684195200000,2023-05-16 00:00:00,ETH/BTC,0.066886,0.067661,0.066573,0.067458,111.6571594550859,1655.21004855
1684108800000,2023-05-15 00:00:00,ETH/BTC,0.066823,0.0673,0.066553,0.066835,44.54749842070725,666.52948935
1684022400000,2023-05-14 00:00:00,ETH/BTC,0.067015,0.06737,0.066703,0.066846,12.38523557733306,185.28013011
1683936000000,2023-05-13 00:00:00,ETH/BTC,0.06745,0.067504,0.066722,0.067028,10.626848938233321,158.54342869
1683849600000,2023-05-12 00:00:00,ETH/BTC,0.066505,0.067784,0.066062,0.067431,113.03914894444264,1676.36767873
1683763200000,2023-05-11 00:00:00,ETH/BTC,0.066661,0.066748,0.066045,0.066502,36.89996639656482,554.87002491
1683676800000,2023-05-10 00:00:00,ETH/BTC,0.066845,0.067084,0.066279,0.066693,46.47194747866473,696.80397461
1683590400000,2023-05-09 00:00:00,ETH/BTC,0.066767,0.067124,0.066518,0.066836,81.40439002937781,1217.97220105
1683504000000,2023-05-08 00:00:00,ETH/BTC,0.065799,0.06702,0.065518,0.066757,114.7096560211025,1718.31652143
1683417600000,2023-05-07 00:00:00,ETH/BTC,0.065738,0.066453,0.065548,0.0658,42.260327451622,642.2542165899999
1683331200000,2023-05-06 00:00:00,ETH/BTC,0.067569,0.06787,0.0649,0.06573,165.07954706305858,2511.47949282
1683244800000,2023-05-05 00:00:00,ETH/BTC,0.065048,0.067642,0.064649,0.067496,175.3096463428024,2597.3338619
1683158400000,2023-05-04 00:00:00,ETH/BTC,0.065625,0.065635,0.064939,0.065055,13.4556382731036,206.83480552
1683072000000,2023-05-03 00:00:00,ETH/BTC,0.065211,0.06647,0.065051,0.065636,35.92158415219816,547.28478506
1682985600000,2023-05-02 00:00:00,ETH/BTC,0.065215,0.065462,0.064867,0.065224,20.835721248940402,319.44868835
1682899200000,2023-05-01 00:00:00,ETH/BTC,0.063976,0.06544,0.063912,0.065169,25.585699844994124,392.60537748
1682812800000,2023-04-30 00:00:00,ETH/BTC,0.065197,0.065288,0.063902,0.063947,91.2213736953406,1426.51529697
1682726400000,2023-04-29 00:00:00,ETH/BTC,0.064486,0.065272,0.064475,0.06526,57.875487938621596,886.84474316
1682640000000,2023-04-28 00:00:00,ETH/BTC,0.064734,0.065324,0.064464,0.064495,24.12313887542615,374.03114777
1682553600000,2023-04-27 00:00:00,ETH/BTC,0.065648,0.066146,0.064591,0.064762,102.03162785699566,1575.48605443
1682467200000,2023-04-26 00:00:00,ETH/BTC,0.06592,0.066168,0.065018,0.065666,124.23574321979412,1891.93407882
1682380800000,2023-04-25 00:00:00,ETH/BTC,0.066926,0.06713,0.06592,0.065926,258.73046943554004,3924.55889081
1682294400000,2023-04-24 00:00:00,ETH/BTC,0.067486,0.067699,0.066802,0.066932,189.28646507054484,2828.0413714
1682208000000,2023-04-23 00:00:00,ETH/BTC,0.067421,0.067878,0.067073,0.067478,21.6174864108506,320.3634727
1682121600000,2023-04-22 00:00:00,ETH/BTC,0.06782,0.068117,0.067349,0.067406,50.90378274654585,755.1817753099999
1682035200000,2023-04-21 00:00:00,ETH/BTC,0.068808,0.069028,0.067103,0.06782,145.6368616288128,2147.40285504
1681948800000,2023-04-20 00:00:00,ETH/BTC,0.067175,0.068925,0.067085,0.06882,131.486436690033,1910.58466565
